10,10,44,0
0,0,2.201780e+00
0,2,1.621823e-01
0,4,7.942845e-01
0,5,3.112150e-01
0,8,5.285331e-01
0,9,1.656487e-01
1,1,2.545966e+00
1,4,6.019819e-01
1,6,2.629713e-01
1,7,6.540791e-01
1,9,6.892145e-01
2,2,2.140744e+00
2,5,7.481516e-01
2,9,4.505416e-01
3,0,8.382138e-02
3,2,2.289770e-01
3,3,1.875251e+00
3,7,9.133374e-01
4,0,1.523780e-01
4,1,8.258170e-01
4,4,2.881157e+00
4,5,5.383424e-01
4,6,9.961347e-01
5,3,7.817553e-02
5,5,5.866842e-01
6,1,4.426783e-01
6,4,1.066528e-01
6,6,3.022122e+00
6,7,4.634224e-03
6,8,7.749105e-01
6,9,8.173032e-01
7,0,8.686947e-01
7,1,8.443585e-02
7,3,3.997826e-01
7,5,2.598704e-01
7,7,1.838705e+00
8,2,4.314138e-01
8,8,8.702838e-01
9,1,1.818470e-01
9,2,2.638029e-01
9,3,1.455390e-01
9,5,1.360686e-01
9,6,8.692922e-01
9,9,1.893226e+00
3.187783e-01
4.241668e-01
5.078583e-01
8.551580e-02
2.624822e-01
8.010146e-01
2.922028e-02
9.288541e-01
7.303309e-01
4.886090e-01
